	Ref	POS	Morpheme	MorTag	Line
120	<B 2Cor 12:4>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
121	<B 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
122	<B 2Cor 12:4>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
123	<B 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
124	<B 2Cor 12:4>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
125	<B 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
126	<A 2Cor 12:11>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	warþ unwita ƕopands , jus mik gabaidideduþ ; aþþan ik ▶skulds◀ was fram izwis gakannjan , unte ni waihtai mins habaida þaim ufar filu apaustaulum , jah jabai ni waihts im . 
127	<B 2Cor 12:11>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	warþ unwita ƕopands , jus mik gabaidideduþ ; aþþan ik ▶skulds◀ was fram izwis gakannjan , unte ni waihtai mins habaida þaim ufar filu apaustaulum , jah jabai ni waihts im . 
128	<A 2Cor 12:14>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	sai , þridjo þata manwus im qiman at izwis , jan~ni kaurja izwis ; unte ni sokja izwaros aihtins , ak izwis ; ni auk ▶skulun◀ barna fadreinam huzdjan , ak fadreina barnam . 
129	<B 2Cor 12:14>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	sai , þridjo þata manwus im qiman at izwis , jah ni kaurja izwis ; unte ni sokja izwaros aihtins , ak izwis ; ni auk ▶skulun◀ barna fadreinam huzdjan , ak fadreina barnam . 
130	<A Eph 5:28>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	swa jah wairos ▶skulun◀ frijon seinos qenins swe leika seina . sein silbins leik frijoþ , saei seina qen frijoþ , jah sik silban frijoþ . 
131	<B Eph 6:20>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-1	faur þoei airino in kunawidom , ei in izai gadaursjau , swe ▶skuljau◀ rodjan . 
132	<A Col 4:4>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-1	þo , swaswe ▶skuljau◀ rodjan . 
133	<B Col 4:4>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-1	ei gabairhtjau þo , swaswe ▶skuljau◀ rodjan . 
134	<A Col 4:6>	Verb	V.prt.-prs.	ACT-OPT-PRES-PLUR-2	waurd izwar sinteino in anstai salta gasupoþ sijai , ei witeiþ ƕaiwa ▶skuleiþ◀ ainƕarjammeh andhafjan . 
135	<B Col 4:6>	Verb	V.prt.-prs.	ACT-OPT-PRES-PLUR-2	waurd izwar sinteino in anstai salta gasupoþ siai , ei witeiþ ƕaiwa ▶skuleiþ◀ ainƕarjammeh andhafjan . 
136	<B 1Thess 4:1>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	Þannu nu , broþrjus , anahaitam bidai izwis jah bidjam in fraujin Iesua , ei swaswe andnemuþ at uns ƕaiwa ▶skuluþ◀ gaggan jah galeikan guda , swa jah gaggaiþ jah gaaukaiþ mais . 
137	<A 2Thess 1:3>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-1	awiliudon ▶skulum◀ guda sinteino in izwara , broþrjus , swaswe wairþ ist , unte ufarwahseiþ galaubeins izwara jah managniþ friaþwa ainƕarjizuh allaize izwara in izwis misso ; 
138	<B 2Thess 1:3>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-1	Awiliudon ▶skulum◀ guda sinteino in izwara , broþrjus , swaswe wairþ ist , unte ufarwahseiþ galaubeins izwara jah managniþ friaþwa ainƕarjizuh allaize izwara in izwis misso ; 
139	<B 2Thess 3:7>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	silbans auk kunnuþ ƕaiwa ▶skuld◀ ist galeikon unsis , unte ni ungatewidai wesum in izwis , 
140	<B 2Thess 3:7>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	silbans auk kunnuþ ƕaiwa ▶skuld◀ ist galeikon unsis , unte ni ungatewidai wesum in izwis , 
141	<A 1Tim 3:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	▶skal◀ nu aipiskaupus ungafairinonds wisan , ainaizos qenais aba , andaþahts , gariuds , froþs , gafaurs , gastigods , laiseigs , 
142	<A 1Tim 3:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	▶skal◀ nu aipiskaupus ungafairinonds wisan , ainaizos qenais aba , andaþahts , gariuds , froþs , gafaurs , gastigods , laiseigs , 
143	<B 1Tim 3:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	▶skal◀ nu aipiskaupus ungafairinonds wisan , ainaizos qenais aba , andaþahts , gariuds , froþs , gafaurs , gastigods , laiseigs , 
144	<B 1Tim 3:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	▶skal◀ nu aipiskaupus ungafairinonds wisan , ainaizos qenais aba , andaþahts , gariuds , froþs , gafaurs , gastigods , laiseigs , 
145	<A 1Tim 3:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	▶skal◀ auk is weitwodiþa goda haban fram þaim uta , ei ni atdriusai in idweit jah hlamma unhulþins . 
146	<A 1Tim 3:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	▶skal◀ auk is weitwodiþa goda haban fram þaim uta , ei ni atdriusai in idweit jah hlamma unhulþins . 
147	<A 1Tim 3:15>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	aþþan jabai sainjau , ei witeis ƕaiwa ▶skuld◀ ist in garda gudis usmitan , saei ist aikklesjo gudis libandins , sauls jah tulgiþa sunjos . 
148	<A 1Tim 3:15>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	aþþan jabai sainjau , ei witeis ƕaiwa ▶skuld◀ ist in garda gudis usmitan , saei ist aikklesjo gudis libandins , sauls jah tulgiþa sunjos . 
149	<A 1Tim 5:13>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	aþþan samana jah unwaurstwons laisjand sik þairhgaggan gardins , aþþan ni þatain unwaurstwons , ak jah unfaurjos jah fairweitjandeins , rodjandeins (unclear)þoei(/unclear)(unclear)ni(/unclear)(unclear)skulda(/unclear)(unclear)sind(/unclear). 
150	<A 1Tim 5:13>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	aþþan samana jah unwaurstwons laisjand sik þairhgaggan gardins , aþþan ni þatain unwaurstwons , ak jah unfaurjos jah fairweitjandeins , rodjandeins (unclear)þoei(/unclear)(unclear)ni(/unclear)(unclear)skulda(/unclear)(unclear)sind(/unclear). 
151	<A 1Tim 5:13>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	aþþan samana jah unwaurstwons laisjand sik þairhgaggan gardins , aþþan ni þatain unwaurstwons , ak jah unfaurjos jah fairweitjandeins , rodjandeins (unclear)þoei(/unclear)(unclear)ni(/unclear)(unclear)skulda(/unclear)(unclear)sind(/unclear). 
152	<A 1Tim 5:13>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	aþþan samana jah unwaurstwons laisjand sik þairhgaggan gardins , aþþan ni þatain unwaurstwons , ak jah unfaurjos jah fairweitjandeins , rodjandeins (unclear)þoei(/unclear)(unclear)ni(/unclear)(unclear)skulda(/unclear)(unclear)sind(/unclear). 
153	<A 1Tim 5:13>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	aþþan samana jah unwaurstwons laisjand sik þairhgaggan gardins , aþþan ni þatain unwaurstwons , ak jah unfaurjos jah fairweitjandeins , rodjandeins (unclear)þoei(/unclear)(unclear)ni(/unclear)(unclear)skulda(/unclear)(unclear)sind(/unclear). 
154	<A 1Tim 5:13>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	aþþan samana jah unwaurstwons laisjand sik þairhgaggan gardins , aþþan ni þatain unwaurstwons , ak jah unfaurjos jah fairweitjandeins , rodjandeins (unclear)þoei(/unclear)(unclear)ni(/unclear)(unclear)skulda(/unclear)(unclear)sind(/unclear). 
155	<A 1Tim 5:13>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	aþþan samana jah unwaurstwons laisjand sik þairhgaggan gardins , aþþan ni þatain unwaurstwons , ak jah unfaurjos jah fairweitjandeins , rodjandeins (unclear)þoei(/unclear)(unclear)ni(/unclear)(unclear)skulda(/unclear)(unclear)sind(/unclear). 
156	<B 2Tim 2:6>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	arbaidjands airþos waurstwja ▶skal◀ frumist akrane andniman . 
157	<B 2Tim 2:6>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	arbaidjands airþos waurstwja ▶skal◀ frumist akrane andniman . 
158	<A 2Tim 2:24>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	iþ ▶skal◀ks fraujins ni ▶skal◀ sakan , ak qairrus wisan wiþra allans , laiseigs , usþulands , 
159	<A 2Tim 2:24>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	iþ ▶skal◀ks fraujins ni ▶skal◀ sakan , ak qairrus wisan wiþra allans , laiseigs , usþulands , 
160	<B 2Tim 2:24>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	iþ ▶skal◀ks fraujins ni ▶skal◀ sakan , ak qairrus wisan wiþra allans , laiseigs , usþulands , 
161	<B 2Tim 2:24>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	iþ ▶skal◀ks fraujins ni ▶skal◀ sakan , ak qairrus wisan wiþra allans , laiseigs , usþulands , 
162	<A 2Tim 4:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	Weitwodja in andwairþja gudis jah fraujins Xristaus Iesuis , saei ▶skal◀ stojan qiwans jah dauþans bi qum is jah þiudinassu is : 
163	<A 2Tim 4:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	Weitwodja in andwairþja gudis jah fraujins Xristaus Iesuis , saei ▶skal◀ stojan qiwans jah dauþans bi qum is jah þiudinassu is : 
164	<B 2Tim 4:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	Weitwodja in andwairþja gudis jah fraujins Xristaus Iesuis , saei ▶skal◀ stojan qiwans jah dauþans bi qum is jah þiudinassu is : 
165	<B 2Tim 4:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	Weitwodja in andwairþja gudis jah fraujins Xristaus Iesuis , saei ▶skal◀ stojan qiwans jah dauþans bi qum is jah þiudinassu is : 
166	<A Tit 1:11>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	þanzei ▶skal◀ gasakan , þaiei gardins allans uswaltjand laisjandans þatei ni skuld ist , in faihugairneins . 
167	<A Tit 1:11>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	þanzei ▶skal◀ gasakan , þaiei gardins allans uswaltjand laisjandans þatei ni skuld ist , in faihugairneins . 
168	<A Tit 1:11>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	þanzei skal gasakan , þaiei gardins allans uswaltjand laisjandans þatei ni ▶skuld◀ ist , in faihugairneins . 
169	<A Tit 1:11>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	þanzei skal gasakan , þaiei gardins allans uswaltjand laisjandans þatei ni ▶skuld◀ ist , in faihugairneins . 
170	<E Sk 1:7>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	inuh þis nu jah leik mans andnam , ei laisareis uns wairþai þizos du guda garaihteins ; swa auk ▶skulda◀ , du galeikon seinai frodein , jah mans aftra galaþon waurdam jah waurstwam jah spilla wairþan aiwaggeljons usmete . 
171	<E Sk 1:7>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	inuh þis nu jah leik mans andnam , ei laisareis uns wairþai þizos du guda garaihteins ; swa auk ▶skulda◀ , du galeikon seinai frodein , jah mans aftra galaþon waurdam jah waurstwam jah spilla wairþan aiwaggeljons usmete . 
172	<E Sk 1:7>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	inuh þis nu jah leik mans andnam , ei laisareis uns wairþai þizos du guda garaihteins ; swa auk ▶skulda◀ , du galeikon seinai frodein , jah mans aftra galaþon waurdam jah waurstwam jah spilla wairþan aiwaggeljons usmete . 
173	<E Sk 1:7>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	inuh þis nu jah leik mans andnam , ei laisareis uns wairþai þizos du guda garaihteins ; swa auk ▶skulda◀ , du galeikon seinai frodein , jah mans aftra galaþon waurdam jah waurstwam jah spilla wairþan aiwaggeljons usmete . 
174	<E Sk 1:7>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	inuh þis nu jah leik mans andnam , ei laisareis uns wairþai þizos du guda garaihteins ; swa auk ▶skulda◀ , du galeikon seinai frodein , jah mans aftra galaþon waurdam jah waurstwam jah spilla wairþan aiwaggeljons usmete . 
175	<E Sk 1:7>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	inuh þis nu jah leik mans andnam , ei laisareis uns wairþai þizos du guda garaihteins ; swa auk ▶skulda◀ , du galeikon seinai frodein , jah mans aftra galaþon waurdam jah waurstwam jah spilla wairþan aiwaggeljons usmete . 
176	<E Sk 1:7>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	inuh þis nu jah leik mans andnam , ei laisareis uns wairþai þizos du guda garaihteins ; swa auk ▶skulda◀ , du galeikon seinai frodein , jah mans aftra galaþon waurdam jah waurstwam jah spilla wairþan aiwaggeljons usmete . 
177	<Lat5750 Sk 3:3>	Verb	V.prt.-prs.	ACT-OPT-PRET-SING-3	akei faur þata , at bajoþum daupjandam jah ainƕaþarammeh seina anafilhandam daupein , miþ sis misso sik undrunnun sumai , ni kunnandans , ƕaþar ▶skuldedi◀ maiza . 
178	<Lat5750 Sk 4:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	So nu faheþs meina usfullnoda . jains ▶skal◀ wahsjan , iþ ik minznan . 
179	<Lat5750 Sk 4:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	So nu faheþs meina usfullnoda . jains ▶skal◀ wahsjan , iþ ik minznan . 
180	<Lat5750 Sk 4:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	eiþan nu siponjam seinaim , þaim bi swikn(unclear)ein(/unclear)du Judaium sokjandam jah qiþandam sis : rabbei , saei was miþ þus hindar Jaurdanau , þammei þu weitwodides , sai sa daupeiþ , jah allai gaggand du imma — nauh unkunnandans þo bi nasjand ; inuh þis laiseiþ ins qiþands : jains skal ▶wahsjan◀ , iþ ik minznan . 
181	<Lat5750 Sk 4:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	eiþan nu siponjam seinaim , þaim bi swikn(unclear)ein(/unclear)du Judaium sokjandam jah qiþandam sis : rabbei , saei was miþ þus hindar Jaurdanau , þammei þu weitwodides , sai sa daupeiþ , jah allai gaggand du imma — nauh unkunnandans þo bi nasjand ; inuh þis laiseiþ ins qiþands : jains skal ▶wahsjan◀ , iþ ik minznan . 
182	<E Sk 5:7>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-1	▶skulum◀ nu allai weis at swaleikai jah swa bairhtai insahtai guda unbauranamma andsa(unclear)lj(/unclear)an (unclear)swer(/unclear)iþa jah ainabaura sunau gudis guþ wisan anakunnan , eiþan galaubjandans sweriþa ju ƕaþaramme usgibaima bi wairþid(unclear)ai(/unclear); unte þata qiþano : ei allai sweraina sunu , swaswe  (unclear)swe(/unclear)rand attan , ni ibnon ak galeik(unclear)a(/unclear)sweriþa usgi(unclear)ban(/unclear)uns laiseiþ . 
183	<E Sk 6:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	_(unclear)n(/unclear)ands , unswikunþozei warþ bi nauþai jainis insahts , swe silba is qiþiþ : jains ▶skal◀ wahsjan , iþ ik minznan , in þizei nu du leitilai ƕeilai galaubjan Iohanne hausjan(add)dans(add)þuhtedun , iþ afar ni filu ufarmaudein þo bi ina (unclear)a(/unclear)t(unclear)g(/unclear)eb(unclear)u(/unclear)n , eiþan waila ins maudeiþ qiþands : 
184	<E Sk 6:1>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	_(unclear)n(/unclear)ands , unswikunþozei warþ bi nauþai jainis insahts , swe silba is qiþiþ : jains ▶skal◀ wahsjan , iþ ik minznan , in þizei nu du leitilai ƕeilai galaubjan Iohanne hausjan(add)dans(add)þuhtedun , iþ afar ni filu ufarmaudein þo bi ina (unclear)a(/unclear)t(unclear)g(/unclear)eb(unclear)u(/unclear)n , eiþan waila ins maudeiþ qiþands : 
185	<E Sk 6:8>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	unte at þaim gaƕairbam frakunnan ni ▶skuld◀ ist , iþ sumai jah stibna is gahausidedun , sumai þan is siun seƕun : audagai auk þan qaþ þai hrainjahairtans , unte þai guþ gasaiƕand . 
186	<E Sk 6:8>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	unte at þaim gaƕairbam frakunnan ni ▶skuld◀ ist , iþ sumai jah stibna is gahausidedun , sumai þan is siun seƕun : audagai auk þan qaþ þai hrainjahairtans , unte þai guþ gasaiƕand . 
187	<CA Lk 20:22>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	▶skuldu◀ ist unsis kaisara gild giban þau niu ? 
188	<CA Mk 3:4>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jah qaþ du im : ▶skuldu◀ ist in sabbatim þiuþ taujan aiþþau unþiuþ taujan , saiwala nasjan aiþþau usqistjan ? iþ eis þahaidedun . 
189	<CA Mk 10:2>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jah duatgaggandans Fareisaieis frehun ina , ▶skuldu◀ sijai mann qen afsatjan , fraisandans ina . 
190	<CA Mk 12:14>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	iþ eis qimandans qeþun du imma : laisari , witum þatei sunjeins is jah ni kara þuk manshun ; ni auk saiƕis in andwairþja manne , ak bi sunjai wig gudis laiseis : ▶skuldu◀ ist kaisaragild giban kaisara , þau niu gibaima ? 
